# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0046 58568.602104483667 52021 827388.834   3.371946   1.002552
0047 58568.602104801874 52021 854881.896   2.996650   0.998708
0048 58568.602105009719 52021 872839.704   3.685078   0.998984
0049 58568.602105276652 52021 895902.720   3.348402   1.000352
0050 58568.602105510094 52021 916072.094   3.392821   0.998209
0051 58568.602105901089 52021 949854.097   3.326030   1.000467
0052 58568.602106006525 52021 958963.759   3.553652   0.998342
0053 58568.602106249862 52021 979988.087   3.096029   0.998351
0054 58568.602106504302 52022   1971.724   3.221326   1.000098
0055 58568.602106687387 52022  17790.261   3.067379   1.002728
0056 58568.602106981263 52022  43181.141   3.143117   0.999749
0057 58568.602107205355 52022  62542.709   3.213919   1.003596
0058 58568.602107466832 52022  85134.243   3.017743   1.003490
0059 58568.602107692335 52022 104617.767   3.072862   1.000273
0060 58568.602107934465 52022 125537.740   3.127432   0.997188
0061 58568.602108170511 52022 145932.168   3.119735   0.996829
0062 58568.602108503284 52022 174683.772   3.129005   0.999026
0063 58568.602108621249 52022 184875.957   3.040651   1.000021
0064 58568.602108840962 52022 203859.081   3.027756   1.002674
0065 58568.602109094536 52022 225767.910   3.711451   0.997772
0066 58568.602109307780 52022 244192.171   3.110964   1.002492
0067 58568.602109690612 52022 277268.837   3.054546   0.999479
0068 58568.602109846644 52022 290750.081   3.016621   1.002945
0069 58568.602110095206 52022 312225.774   2.936425   0.997039
0070 58568.602110442444 52022 342227.120   3.195392   1.001118
0071 58568.602110654603 52022 360557.714   3.253058   1.000872
0072 58568.602110828448 52022 375577.874   3.037853   1.001277
0073 58568.602111172004 52022 405261.127   2.926087   1.002011
0074 58568.602111341039 52022 419865.755   2.990417   0.994585
0075 58568.602111668210 52022 448133.305   3.095569   1.003570
0076 58568.602111878579 52022 466309.252   2.979731   0.995570
0077 58568.602112214430 52022 495326.772   3.208315   1.001927
0078 58568.602112393215 52022 510773.782   3.114897   1.003454
0079 58568.602112649569 52022 532922.751   3.112128   0.999126
0080 58568.602112788052 52022 544887.709   2.979826   1.000574
0081 58568.602112969238 52022 560542.170   3.218587   0.997870
0082 58568.602113194931 52022 580042.039   3.287867   0.997891
0083 58568.602113368368 52022 595026.996   2.978165   0.999784
0084 58568.602113577581 52022 613102.989   2.925196   0.999984
0085 58568.602113776331 52022 630274.994   2.989062   0.999613
0086 58568.602113963090 52022 646410.996   3.039674   0.996572
0087 58568.602114214249 52022 668111.115   3.124510   1.005523
0088 58568.602114508853 52022 693564.859   2.940700   0.999130
0089 58568.602114765636 52022 715750.919   2.997536   0.998157
0090 58568.602115003116 52022 736269.189   3.330273   0.999098
0091 58568.602115201080 52022 753373.301   3.054177   0.996639
0092 58568.602115405403 52022 771026.846   3.117350   1.002947
0093 58568.602115657937 52022 792845.778   2.903847   0.998107
